Punjab-Ambulance-Usefull,11.36
Punjab-Ambulance-Useless,11.36
Punjab-Lab Machines-Usefull,11.36
Punjab-Lab Machines-Useless,11.36
Punjab-Beds-Usefull,11.36
Punjab-Beds-Useless,11.36
Punjab-Utensils-Usefull,11.36
Punjab-Utensils-Useless,11.36
Punjab-Injections-Usefull,11.36
Punjab-Injections-Useless,11.36
Punjab-H.Clothing-Usefull,11.36
Punjab-H.Clothing-Useless,11.36
Sindh-Ambulance-Usefull,11.36
Sindh-Ambulance-Useless,1.36
Sindh-Lab Machines-Usefull,11.36
Sindh-Lab Machines-Useless,11.36
Sindh-Beds-Usefull,11
Sindh-Beds-Useless,11.36
Sindh-Utensils-Usefull,11.36
Sindh-Utensils-Useless,11.36
Sindh-Injections-Usefull,19.36
Sindh-Injections-Useless,11.36
Sindh-H.Clothing-Usefull,11.36
Sindh-H.Clothing-Useless,1.36
Balochistan-Ambulance-Usefull,19.36
Balochistan-Ambulance-Useless,1.36
Balochistan-Lab Machines-Usefull,11.36
Balochistan-Lab Machines-Useless,1.36
Balochistan-Beds-Usefull,11
Balochistan-Beds-Useless,7.36
Balochistan-Utensils-Usefull,11.36
Balochistan-Utensils-Useless,8.36
Balochistan-Injections-Usefull,19.36
Balochistan-Injections-Useless,11.36
Balochistan-H.Clothing-Usefull,11.36
Balochistan-H.Clothing-Useless,1.36
KPK-Ambulance-Usefull,19.36
KPK-Ambulance-Useless,1.36
KPK-Lab Machines-Usefull,11.36
KPK-Lab Machines-Useless,1.36
KPK-Beds-Usefull,11
KPK-Beds-Useless,7.36
KPK-Utensils-Usefull,11.36
KPK-Utensils-Useless,8.36
KPK-Injections-Usefull,19.36
KPK-Injections-Useless,11.36
KPK-H.Clothing-Usefull,11.36
KPK-H.Clothing-Useless,1.36
GB-Ambulance-Usefull,19.36
GB-Ambulance-Useless,1.36
GB-Lab Machines-Usefull,11.36
GB-Lab Machines-Useless,1.36
GB-Beds-Usefull,11
GB-Beds-Useless,7.36
GB-Utensils-Usefull,11.36
GB-Utensils-Useless,8.36
GB-Injections-Usefull,19.36
GB-Injections-Useless,11.36
GB-H.Clothing-Usefull,11.36
GB-H.Clothing-Useless,1.36
