Punjab-Dengue-Male,9.15
Punjab-Dengue-Female,9.15
Punjab-EarPain-Male,9.15
Punjab-EarPain-Female,9.15
Punjab-SkinInfection-Male,9.15
Punjab-SkinInfection-Female,9.15
Punjab-Bronchiolitis-Male,9.15
Punjab-Bronchiolitis-Female,9.15
Punjab-SoreThroat-Male,9.15
Punjab-SoreThroat-Female,9.15
Punjab-CommonCold-Male,9.15
Punjab-CommonCold-Female,9.15
Sindh-Dengue-Male,9.15
Sindh-Dengue-Female,9.15
Sindh-EarPain-Male,9.15
Sindh-EarPain-Female,9.15
Sindh-SkinInfection-Male,9.15
Sindh-SkinInfection-Female,9.15
Sindh-Bronchiolitis-Male,9.15
Sindh-Bronchiolitis-Female,9.15
Sindh-SoreThroat-Male,9.15
Sindh-SoreThroat-Female,9.15
Sindh-CommonCold-Male,9.15
Sindh-CommonCold-Female,9.15
Balochistan-Dengue-Male,9.15
Balochistan-Dengue-Female,9.15
Balochistan-EarPain-Male,9.15
Balochistan-EarPain-Female,9.15
Balochistan-SkinInfection-Male,9.15
Balochistan-SkinInfection-Female,9.15
Balochistan-Bronchiolitis-Male,9.15
Balochistan-Bronchiolitis-Female,9.15
Balochistan-SoreThroat-Male,9.15
Balochistan-SoreThroat-Female,9.15
Balochistan-CommonCold-Male,9.15
Balochistan-CommonCold-Female,9.15
KPK-Dengue-Male,9.15
KPK-Dengue-Female,9.15
KPK-EarPain-Male,9.15
KPK-EarPain-Female,9.15
KPK-SkinInfection-Male,9.15
KPK-SkinInfection-Female,9.15
KPK-Bronchiolitis-Male,9.15
KPK-Bronchiolitis-Female,9.15
KPK-SoreThroat-Male,9.15
KPK-SoreThroat-Female,9.15
KPK-CommonCold-Male,9.15
KPK-CommonCold-Female,9.15
GB-Dengue-Male,9.15
GB-Dengue-Female,9.15
GB-EarPain-Male,9.15
GB-EarPain-Female,9.15
GB-SkinInfection-Male,9.15
GB-SkinInfection-Female,9.15
GB-Bronchiolitis-Male,9.15
GB-Bronchiolitis-Female,9.15
GB-SoreThroat-Male,9.15
GB-SoreThroat-Female,9.15
GB-CommonCold-Male,9.15
GB-CommonCold-Female,9.15
